<WFATester Graph 1.00 1,40.000,45.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2015,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,     0.77435
   00:000.120,     0.77434
   00:000.140,     0.77898
   00:000.160,     0.77523
   00:000.180,     0.77499
   00:000.200,     0.77590
   00:000.220,     0.77635
   00:000.240,     0.77925
   00:000.260,     0.77888
   00:000.280,     0.77718
   00:000.300,     0.77738
   00:000.320,     0.78179
   00:000.340,     0.78984
   00:000.360,     0.79970
   00:000.380,     0.80830
   00:000.400,     0.81353
   00:000.420,     0.81842
   00:000.440,     0.82314
   00:000.460,     0.82594
   00:000.480,     0.83103
   00:000.500,     0.84066
   00:000.520,     0.86778
   00:000.540,     0.93097
   00:000.560,     1.04789
   00:000.580,     1.22101
   00:000.600,     1.45251
   00:000.620,     1.74902
   00:000.640,     2.11163
   00:000.660,     2.52577
   00:000.680,     2.95634
   00:000.700,     3.35717
   00:000.720,     3.71182
   00:000.740,     4.01641
   00:000.760,     4.27020
   00:000.780,     4.47825
   00:000.800,     4.64031
   00:000.820,     4.76796
   00:000.840,     4.87122
   00:000.860,     4.96107
   00:000.880,     5.03763
   00:000.900,     5.09978
   00:000.920,     5.15429
   00:000.940,     5.20196
   00:000.960,     5.23829
   00:000.980,     5.26695
   00:001.000,     5.29277
   00:001.020,     5.31390
   00:001.040,     5.33160
   00:001.060,     5.34795
   00:001.080,     5.36236
   00:001.100,     5.37806
   00:001.120,     5.39623
   00:001.140,     5.41411
   00:001.160,     5.43737
   00:001.180,     5.46378
   00:001.200,     5.48737
   00:001.220,     5.51153
   00:001.240,     5.53427
   00:001.260,     5.55753
   00:001.280,     5.57812
   00:001.300,     5.59171
   00:001.320,     5.60452
   00:001.340,     5.61631
   00:001.360,     5.62451
   00:001.380,     5.63237
   00:001.400,     5.64421
   00:001.420,     5.65501
   00:001.440,     5.66712
   00:001.460,     5.67906
   00:001.480,     5.68737
   00:001.500,     5.69717
   00:001.520,     5.71066
   00:001.540,     5.72430
   00:001.560,     5.73836
   00:001.580,     5.75408
   00:001.600,     5.76850
   00:001.620,     5.78501
   00:001.640,     5.79370
   00:001.660,     5.79843
   00:001.680,     5.80900
   00:001.700,     5.81763
   00:001.720,     5.82463
   00:001.740,     5.83481
   00:001.760,     5.84486
   00:001.780,     5.85350
   00:001.800,     5.86151
   00:001.820,     5.86892
   00:001.840,     5.87339
   00:001.860,     5.87635
   00:001.880,     5.87980
   00:001.900,     5.88459
   00:001.920,     5.89533
   00:001.940,     5.90553
   00:001.960,     5.91192
   00:001.980,     5.91701
   00:002.000,     5.91769
   00:002.020,     5.91467
   00:002.040,     5.91484
   00:002.060,     5.91650
   00:002.080,     5.91393
   00:002.100,     5.91293
   00:002.120,     5.91352
   00:002.140,     5.91632
   00:002.160,     5.92544
   00:002.180,     5.93848
   00:002.200,     5.95017
   00:002.220,     5.95986
   00:002.240,     5.97425
   00:002.260,     5.99137
   00:002.280,     6.00582
   00:002.300,     6.01854
   00:002.320,     6.03100
   00:002.340,     6.04435
   00:002.360,     6.05719
   00:002.380,     6.06675
   00:002.400,     6.07194
   00:002.420,     6.08005
   00:002.440,     6.08893
   00:002.460,     6.09905
   00:002.480,     6.10846
   00:002.500,     6.11789
   00:002.520,     6.12356
   00:002.540,     6.13140
   00:002.560,     6.14313
   00:002.580,     6.15162
   00:002.600,     6.15823
   00:002.620,     6.16160
   00:002.640,     6.16271
   00:002.660,     6.16836
   00:002.680,     6.17485
   00:002.700,     6.17712
   00:002.720,     6.17460
   00:002.740,     6.15908
   00:002.760,     6.11713
   00:002.780,     6.07502
   00:002.800,     6.06219
   00:002.820,     6.08062
   00:002.840,     6.11027
   00:002.860,     6.13837
   00:002.880,     6.16082
   00:002.900,     6.17272
   00:002.920,     6.17977
   00:002.940,     6.18483
   00:002.960,     6.19325
   00:002.980,     6.20023
   00:003.000,     6.20783
   00:003.020,     6.21478
   00:003.040,     6.22087
   00:003.060,     6.22553
   00:003.080,     6.22449
   00:003.100,     6.22380
   00:003.120,     6.22633
   00:003.140,     6.22749
   00:003.160,     6.22897
   00:003.180,     6.23025
   00:003.200,     6.23218
   00:003.220,     6.23041
   00:003.240,     6.22300
   00:003.260,     6.21894
   00:003.280,     6.21563
   00:003.300,     6.21121
   00:003.320,     6.21000
   00:003.340,     6.21388
   00:003.360,     6.21680
   00:003.380,     6.22205
   00:003.400,     6.22728
   00:003.420,     6.22925
   00:003.440,     6.23197
   00:003.460,     6.23560
   00:003.480,     6.23742
   00:003.500,     6.23822
   00:003.520,     6.24064
   00:003.540,     6.24218
   00:003.560,     6.24175
   00:003.580,     6.24236
   00:003.600,     6.24325
   00:003.620,     6.24425
   00:003.640,     6.24169
   00:003.660,     6.24040
   00:003.680,     6.23972
   00:003.700,     6.23632
   00:003.720,     6.23513
   00:003.740,     6.23117
   00:003.760,     6.22467
   00:003.780,     6.20986
   00:003.800,     6.16101
   00:003.820,     6.05745
   00:003.840,     5.91702
   00:003.860,     5.76980
   00:003.880,     5.64207
   00:003.900,     5.57574
   00:003.920,     5.58604
   00:003.940,     5.62311
   00:003.960,     5.60562
   00:003.980,     5.44535
   00:004.000,     5.07249
   00:004.020,     4.50451
   00:004.040,     3.85731
   00:004.060,     3.23490
   00:004.080,     2.67869
   00:004.100,     2.21232
   00:004.120,     1.85735
   00:004.140,     1.59559
   00:004.160,     1.39076
   00:004.180,     1.22933
   00:004.200,     1.11136
   00:004.220,     1.02918
   00:004.240,     0.97282
   00:004.260,     0.93639
   00:004.280,     0.91591
   00:004.300,     0.90593
   00:004.320,     0.90265
   00:004.340,     0.90528
   00:004.360,     0.91020
   00:004.380,     0.91424
   00:004.400,     0.91520
   00:004.420,     0.91657
   00:004.440,     0.91847
   00:004.460,     0.91663
   00:004.480,     0.91160
   00:004.500,     0.90503
   00:004.520,     0.89990
   00:004.540,     0.89509
   00:004.560,     0.89179
   00:004.580,     0.89207
   00:004.600,     0.89265
   00:004.620,     0.89189
   00:004.640,     0.89330
   00:004.660,     0.89424
   00:004.680,     0.89480
   00:004.700,     0.89490
   00:004.720,     0.89395
   00:004.740,     0.89272
   00:004.760,     0.89005
   00:004.780,     0.88687
   00:004.800,     0.88449
   00:004.820,     0.88317
   00:004.840,     0.88273
   00:004.860,     0.88173
   00:004.880,     0.88074
   00:004.900,     0.88163
   00:004.920,     0.88250
   00:004.940,     0.88434
   00:004.960,     0.88734
   00:004.980,     0.88872
   00:005.000,     0.88987
   00:005.020,     0.89105
   00:005.040,     0.89202
   00:005.060,     0.89210
   00:005.080,     0.89218
   00:005.100,     0.89115
   00:005.120,     0.89160
   00:005.140,     0.89411
   00:005.160,     0.89469
   00:005.180,     0.89532
   00:005.200,     0.89840
   00:005.220,     0.89995
   00:005.240,     0.90224
   00:005.260,     0.90443
   00:005.280,     0.90379
   00:005.300,     0.90043
   00:005.320,     0.89269
   00:005.340,     0.87994
   00:005.360,     0.86511
   00:005.380,     0.84983
   00:005.400,     0.83612
   00:005.420,     0.82473
   00:005.440,     0.81607
   00:005.460,     0.81263
   00:005.480,     0.81097
   00:005.500,     0.80931
   00:005.520,     0.81147
   00:005.540,     0.81505
   00:005.560,     0.81678
   00:005.580,     0.81826
   00:005.600,     0.81946
   00:005.620,     0.81947
   00:005.640,     0.81704
   00:005.660,     0.81700
   00:005.680,     0.81624
   00:005.700,     0.81042
   00:005.720,     0.80350
   00:005.740,     0.79797
   00:005.760,     0.79367
   00:005.780,     0.79022
   00:005.800,     0.78624
   00:005.820,     0.78397
   00:005.840,     0.78128
   00:005.860,     0.77860
   00:005.880,     0.77688
   00:005.900,     0.77752
   00:005.920,     0.77808
   00:005.940,     0.77792
   00:005.960,     0.77676
   00:005.980,     0.77816
   00:006.000,     0.78080
   00:006.020,     0.78004
   00:006.040,     0.77608
   00:006.060,     0.77291
   00:006.080,     0.76956
   00:006.100,     0.76810
   00:006.120,     0.76807
   00:006.140,     0.76801
   00:006.160,     0.76589
   00:006.180,     0.76412
   00:006.200,     0.76351
   00:006.220,     0.76226
   00:006.240,     0.76279
   00:006.260,     0.76372
   00:006.280,     0.76298
   00:006.300,     0.76276
   00:006.320,     0.76249
   00:006.340,     0.76320
   00:006.360,     0.76314
   00:006.380,     0.76124
   00:006.400,     0.76084
   00:006.420,     0.76208
   00:006.440,     0.76219
   00:006.460,     0.76103
   00:006.480,     0.76125
   00:006.500,     0.76153
   00:006.520,     0.76150
   00:006.540,     0.76166
   00:006.560,     0.76197
   00:006.580,     0.76203
   00:006.600,     0.76097
   00:006.620,     0.76093
   00:006.640,     0.76159
   00:006.660,     0.76232
   00:006.680,     0.76300
   00:006.700,     0.76390
   00:006.720,     0.76436
   00:006.740,     0.76382
   00:006.760,     0.76310
   00:006.780,     0.76273
   00:006.800,     0.76358
   00:006.820,     0.76552
   00:006.840,     0.76552
   00:006.860,     0.76578
   00:006.880,     0.76760
   00:006.900,     0.76703
   00:006.920,     0.76552
   00:006.940,     0.76540
   00:006.960,     0.76592
   00:006.980,     0.76836
   00:007.000,     0.77360
   00:007.020,     0.77786
   00:007.040,     0.78250
   00:007.060,     0.78568
   00:007.080,     0.78845
   00:007.100,     0.79028
   00:007.120,     0.79013
   00:007.140,     0.79084
   00:007.160,     0.79230
   00:007.180,     0.79500
   00:007.200,     0.79864
   00:007.220,     0.80738
   00:007.240,     0.82827
   00:007.260,     0.86203
   00:007.280,     0.91170
   00:007.300,     0.98579
   00:007.320,     1.08440
   00:007.340,     1.20473
   00:007.360,     1.34530
   00:007.380,     1.50864
   00:007.400,     1.69825
   00:007.420,     1.91017
