<WFATester Graph 1.00 1,25.000,30.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  1400,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,     0.00000
   00:000.120,     0.92778
   00:000.140,     0.92722
   00:000.160,     0.94337
   00:000.180,     0.93659
   00:000.200,     0.93261
   00:000.220,     0.92696
   00:000.240,     0.92130
   00:000.260,     0.92100
   00:000.280,     0.92226
   00:000.300,     0.92142
   00:000.320,     0.92037
   00:000.340,     0.92011
   00:000.360,     0.91928
   00:000.380,     0.91873
   00:000.400,     0.91977
   00:000.420,     0.91913
   00:000.440,     0.91675
   00:000.460,     0.91736
   00:000.480,     0.91797
   00:000.500,     0.91675
   00:000.520,     0.91641
   00:000.540,     0.91635
   00:000.560,     0.91561
   00:000.580,     0.91536
   00:000.600,     0.91907
   00:000.620,     0.92552
   00:000.640,     0.93515
   00:000.660,     0.96696
   00:000.680,     1.05891
   00:000.700,     1.25197
   00:000.720,     1.55870
   00:000.740,     1.95921
   00:000.760,     2.41184
   00:000.780,     2.87877
   00:000.800,     3.33664
   00:000.820,     3.77306
   00:000.840,     4.16595
   00:000.860,     4.50389
   00:000.880,     4.79071
   00:000.900,     5.03175
   00:000.920,     5.22817
   00:000.940,     5.38803
   00:000.960,     5.51980
   00:000.980,     5.62073
   00:001.000,     5.70122
   00:001.020,     5.77027
   00:001.040,     5.83087
   00:001.060,     5.87427
   00:001.080,     5.91171
   00:001.100,     5.95047
   00:001.120,     5.98623
   00:001.140,     6.01890
   00:001.160,     6.04350
   00:001.180,     6.06533
   00:001.200,     6.08647
   00:001.220,     6.10662
   00:001.240,     6.12603
   00:001.260,     6.14752
   00:001.280,     6.16991
   00:001.300,     6.18871
   00:001.320,     6.20733
   00:001.340,     6.22559
   00:001.360,     6.24148
   00:001.380,     6.25418
   00:001.400,     6.26425
   00:001.420,     6.27146
   00:001.440,     6.27575
   00:001.460,     6.28059
   00:001.480,     6.28675
   00:001.500,     6.29594
   00:001.520,     6.30176
   00:001.540,     6.30821
   00:001.560,     6.31516
   00:001.580,     6.32295
   00:001.600,     6.33390
   00:001.620,     6.34384
   00:001.640,     6.35626
   00:001.660,     6.36888
   00:001.680,     6.38366
   00:001.700,     6.39721
   00:001.720,     6.41309
   00:001.740,     6.42858
   00:001.760,     6.44151
   00:001.780,     6.45423
   00:001.800,     6.47230
   00:001.820,     6.48664
   00:001.840,     6.49934
   00:001.860,     6.51258
   00:001.880,     6.52494
   00:001.900,     6.53620
   00:001.920,     6.54612
   00:001.940,     6.55754
   00:001.960,     6.56820
   00:001.980,     6.57691
   00:002.000,     6.58742
   00:002.020,     6.59850
   00:002.040,     6.61047
   00:002.060,     6.62393
   00:002.080,     6.63343
   00:002.100,     6.63985
   00:002.120,     6.64877
   00:002.140,     6.65760
   00:002.160,     6.66562
   00:002.180,     6.67737
   00:002.200,     6.68779
   00:002.220,     6.69698
   00:002.240,     6.70306
   00:002.260,     6.70525
   00:002.280,     6.70750
   00:002.300,     6.70976
   00:002.320,     6.71500
   00:002.340,     6.71829
   00:002.360,     6.71957
   00:002.380,     6.72115
   00:002.400,     6.72360
   00:002.420,     6.72437
   00:002.440,     6.73049
   00:002.460,     6.73347
   00:002.480,     6.73679
   00:002.500,     6.74653
   00:002.520,     6.75240
   00:002.540,     6.75555
   00:002.560,     6.76121
   00:002.580,     6.76778
   00:002.600,     6.77075
   00:002.620,     6.77796
   00:002.640,     6.78756
   00:002.660,     6.79871
   00:002.680,     6.80957
   00:002.700,     6.81522
   00:002.720,     6.82130
   00:002.740,     6.83000
   00:002.760,     6.83576
   00:002.780,     6.83922
   00:002.800,     6.84281
   00:002.820,     6.84635
   00:002.840,     6.84510
   00:002.860,     6.81725
   00:002.880,     6.70474
   00:002.900,     6.48802
   00:002.920,     6.26990
   00:002.940,     6.07581
   00:002.960,     5.70690
   00:002.980,     5.15218
   00:003.000,     4.57855
   00:003.020,     3.91126
   00:003.040,     3.13156
   00:003.060,     2.44424
   00:003.080,     1.95938
   00:003.100,     1.63761
   00:003.120,     1.42180
   00:003.140,     1.27953
   00:003.160,     1.18511
   00:003.180,     1.12341
   00:003.200,     1.08137
   00:003.220,     1.05055
   00:003.240,     1.02928
   00:003.260,     1.01423
   00:003.280,     1.00329
   00:003.300,     0.99486
   00:003.320,     0.98781
   00:003.340,     0.98024
   00:003.360,     0.97406
   00:003.380,     0.97035
   00:003.400,     0.96699
   00:003.420,     0.96458
   00:003.440,     0.96182
   00:003.460,     0.95802
   00:003.480,     0.95450
   00:003.500,     0.95340
   00:003.520,     0.95248
   00:003.540,     0.95104
   00:003.560,     0.95021
   00:003.580,     0.94727
   00:003.600,     0.94434
   00:003.620,     0.94378
   00:003.640,     0.94435
   00:003.660,     0.94301
   00:003.680,     0.94108
   00:003.700,     0.94035
   00:003.720,     0.94015
   00:003.740,     0.93795
   00:003.760,     0.93578
   00:003.780,     0.93553
   00:003.800,     0.93702
   00:003.820,     0.93673
   00:003.840,     0.93491
   00:003.860,     0.93384
   00:003.880,     0.93371
   00:003.900,     0.93379
   00:003.920,     0.93337
   00:003.940,     0.93163
   00:003.960,     0.93070
   00:003.980,     0.92959
   00:004.000,     0.92909
   00:004.020,     0.92762
   00:004.040,     0.92613
   00:004.060,     0.92583
   00:004.080,     0.92516
   00:004.100,     0.92598
   00:004.120,     0.92559
   00:004.140,     0.92440
   00:004.160,     0.92502
   00:004.180,     0.92387
   00:004.200,     0.92339
   00:004.220,     0.92423
   00:004.240,     0.92404
   00:004.260,     0.92348
   00:004.280,     0.92391
   00:004.300,     0.92253
   00:004.320,     0.92109
   00:004.340,     0.92123
   00:004.360,     0.92061
   00:004.380,     0.92168
   00:004.400,     0.92167
   00:004.420,     0.92055
   00:004.440,     0.92015
   00:004.460,     0.91942
   00:004.480,     0.91910
   00:004.500,     0.91964
   00:004.520,     0.91913
   00:004.540,     0.91968
   00:004.560,     0.91878
   00:004.580,     0.91948
   00:004.600,     0.92125
   00:004.620,     0.91977
   00:004.640,     0.91848
   00:004.660,     0.91901
   00:004.680,     0.92112
   00:004.700,     0.92103
   00:004.720,     0.91980
   00:004.740,     0.92360
   00:004.760,     0.92938
   00:004.780,     0.93610
   00:004.800,     0.95707
   00:004.820,     1.01591
   00:004.840,     1.13635
   00:004.860,     1.34393
   00:004.880,     1.65055
   00:004.900,     2.04107
   00:004.920,     2.47013
   00:004.940,     2.90515
   00:004.960,     3.34454
   00:004.980,     3.77346
   00:005.000,     4.16914
   00:005.020,     4.51073
   00:005.040,     4.79327
   00:005.060,     5.02118
   00:005.080,     5.20606
   00:005.100,     5.35785
   00:005.120,     5.47323
   00:005.140,     5.55775
   00:005.160,     5.62469
   00:005.180,     5.68046
   00:005.200,     5.72261
   00:005.220,     5.75436
   00:005.240,     5.78343
   00:005.260,     5.80911
   00:005.280,     5.82678
   00:005.300,     5.84779
   00:005.320,     5.86582
   00:005.340,     5.87835
   00:005.360,     5.89405
   00:005.380,     5.91061
   00:005.400,     5.92361
   00:005.420,     5.93483
   00:005.440,     5.94802
   00:005.460,     5.95916
   00:005.480,     5.96939
   00:005.500,     5.98323
   00:005.520,     5.99692
   00:005.540,     6.00937
   00:005.560,     6.02418
   00:005.580,     6.03892
   00:005.600,     6.05139
   00:005.620,     6.06235
   00:005.640,     6.08224
   00:005.660,     6.10447
   00:005.680,     6.12026
   00:005.700,     6.13907
   00:005.720,     6.16066
   00:005.740,     6.18422
   00:005.760,     6.20572
   00:005.780,     6.22479
   00:005.800,     6.24721
   00:005.820,     6.27145
   00:005.840,     6.29337
   00:005.860,     6.30630
   00:005.880,     6.31771
   00:005.900,     6.33060
   00:005.920,     6.34347
   00:005.940,     6.35733
   00:005.960,     6.36717
   00:005.980,     6.37712
   00:006.000,     6.39008
   00:006.020,     6.40247
   00:006.040,     6.41148
   00:006.060,     6.41888
   00:006.080,     6.42978
   00:006.100,     6.43939
   00:006.120,     6.44798
   00:006.140,     6.45601
   00:006.160,     6.45987
   00:006.180,     6.46554
   00:006.200,     6.47507
   00:006.220,     6.48635
   00:006.240,     6.49425
   00:006.260,     6.49810
   00:006.280,     6.49734
   00:006.300,     6.49926
   00:006.320,     6.50372
   00:006.340,     6.50483
   00:006.360,     6.50596
   00:006.380,     6.51014
   00:006.400,     6.51455
   00:006.420,     6.51830
   00:006.440,     6.52149
   00:006.460,     6.52502
   00:006.480,     6.53168
   00:006.500,     6.54217
   00:006.520,     6.55370
   00:006.540,     6.56181
   00:006.560,     6.57279
   00:006.580,     6.58733
   00:006.600,     6.59861
   00:006.620,     6.61145
   00:006.640,     6.62350
   00:006.660,     6.63579
   00:006.680,     6.64704
   00:006.700,     6.65480
   00:006.720,     6.66103
   00:006.740,     6.66966
   00:006.760,     6.67765
   00:006.780,     6.68259
   00:006.800,     6.68651
   00:006.820,     6.69126
   00:006.840,     6.69834
   00:006.860,     6.70570
   00:006.880,     6.71255
   00:006.900,     6.71792
   00:006.920,     6.72022
   00:006.940,     6.72551
   00:006.960,     6.72948
   00:006.980,     6.73001
   00:007.000,     6.72969
   00:007.020,     6.70821
   00:007.040,     6.65032
   00:007.060,     6.56509
   00:007.080,     6.43880
   00:007.100,     6.18393
   00:007.120,     5.62504
   00:007.140,     4.68515
   00:007.160,     3.62007
   00:007.180,     2.75219
   00:007.200,     2.15564
   00:007.220,     1.76289
   00:007.240,     1.50457
   00:007.260,     1.33602
   00:007.280,     1.22634
   00:007.300,     1.15251
   00:007.320,     1.10272
   00:007.340,     1.06758
   00:007.360,     1.04271
   00:007.380,     1.02415
   00:007.400,     1.01030
   00:007.420,     1.00133
