<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2105,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:000.000,     0.00000,     0.00000,    20.75529
   00:000.020,     0.00000,    -0.10635,    20.75529
   00:000.040,     0.00000,    -0.09877,    20.75529
   00:000.060,     0.00000,    -0.09208,    20.76677
   00:000.080,     0.00000,    -0.08207,    20.75529
   00:000.100,     0.05674,     0.00000,    20.75529
   00:000.120,     0.05723,     0.00000,    20.76103
   00:000.140,     0.05237,     0.00000,    20.75529
   00:000.160,     0.05170,     0.08985,    20.75529
   00:000.180,     0.05361,     0.09731,    20.75529
   00:000.200,     0.05765,     0.12824,    20.77826
   00:000.220,     0.05676,     0.16002,    20.76677
   00:000.240,     0.05732,     0.16733,    20.75529
   00:000.260,     0.05686,     0.14819,    20.76677
   00:000.280,     0.05535,     0.12768,    20.76103
   00:000.300,     0.05439,     0.13321,    20.75529
   00:000.320,     0.05451,     0.15982,    20.76103
   00:000.340,     0.05543,     0.18737,    20.76677
   00:000.360,     0.05571,     0.21156,    20.76677
   00:000.380,     0.05481,     0.23754,    20.76103
   00:000.400,     0.05461,     0.25634,    20.75529
   00:000.420,     0.05592,     0.25206,    20.76677
   00:000.440,     0.05564,     0.23484,    20.76677
   00:000.460,     0.05424,     0.22168,    20.76103
   00:000.480,     0.05460,     0.20962,    20.75529
   00:000.500,     0.05511,     0.19644,    20.76677
   00:000.520,     0.05561,     0.18377,    20.76677
   00:000.540,     0.05563,     0.16551,    20.76677
   00:000.560,     0.05599,     0.14367,    20.76677
   00:000.580,     0.05673,     0.12855,    20.77826
   00:000.600,     0.05671,     0.12646,    20.76677
   00:000.620,     0.05701,     0.13353,    20.76103
   00:000.640,     0.05797,     0.14528,    20.76103
   00:000.660,     0.05753,     0.15755,    20.76677
   00:000.680,     0.05683,     0.16954,    20.76677
   00:000.700,     0.05691,     0.18100,    20.77826
   00:000.720,     0.05775,     0.18913,    20.76103
   00:000.740,     0.05677,     0.19609,    20.76677
