<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2075,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:000.000,     0.00000,     0.00000,    21.64876
   00:000.020,     0.00000,     0.00000,    21.64254
   00:000.040,     0.00000,     0.00000,    21.64876
   00:000.060,     0.00000,     0.00000,    21.65499
   00:000.080,     0.00000,     0.00000,    21.64254
   00:000.100,     0.00000,     0.00000,    21.67366
   00:000.120,     0.14548,     0.00000,    21.65499
   00:000.140,     0.14772,     0.00000,    21.63632
   00:000.160,     0.16858,     0.00000,    21.64876
   00:000.180,     0.16122,     0.00000,    21.64254
   00:000.200,     0.15661,     0.00000,    21.63632
   00:000.220,     0.15163,     0.00000,    21.64254
   00:000.240,     0.14529,     0.00000,    21.65499
   00:000.260,     0.14550,     0.00000,    21.64876
   00:000.280,     0.14804,     0.00000,    21.63632
   00:000.300,     0.14754,     0.00000,    21.65499
   00:000.320,     0.14710,     0.00000,    21.64876
   00:000.340,     0.14721,     0.00000,    21.63632
   00:000.360,     0.14839,     0.00000,    21.64876
   00:000.380,     0.14864,     0.00000,    21.65499
   00:000.400,     0.14747,     0.00000,    21.65499
   00:000.420,     0.14813,     0.00000,    21.65499
   00:000.440,     0.14782,     0.00000,    21.64254
   00:000.460,     0.14768,     0.00000,    21.65499
   00:000.480,     0.14875,     0.00000,    21.64876
   00:000.500,     0.14618,     0.00000,    21.65499
   00:000.520,     0.14461,     0.00000,    21.65499
   00:000.540,     0.14651,     0.00000,    21.65499
   00:000.560,     0.14770,     0.00000,    21.65499
   00:000.580,     0.14727,     0.00000,    21.64254
   00:000.600,     0.14720,     0.00000,    21.65499
   00:000.620,     0.14752,     0.00000,    21.64254
   00:000.640,     0.14765,     0.00000,    21.64254
   00:000.660,     0.14772,     0.00000,    21.64254
   00:000.680,     0.14756,     0.00000,    21.63010
   00:000.700,     0.14832,     0.00000,    21.66121
   00:000.720,     0.14935,     0.00000,    21.66121
   00:000.740,     0.14787,     0.00000,    21.65499
   00:000.760,     0.14707,     0.00000,    21.64254
   00:000.780,     0.14725,     0.00000,    21.63010
   00:000.800,     0.14796,     0.00000,    21.66121
   00:000.820,     0.14842,     0.00000,    21.66743
   00:000.840,     0.14708,     0.00000,    21.63010
   00:000.860,     0.14593,     0.00000,    21.65499
   00:000.880,     0.14625,     0.00000,    21.66121
   00:000.900,     0.14775,     0.00000,    21.65499
   00:000.920,     0.14707,     0.00000,    21.65499
   00:000.940,     0.14555,     0.00000,    21.65499
   00:000.960,     0.14552,     0.00000,    21.65499
   00:000.980,     0.14528,     0.00000,    21.65499
   00:001.000,     0.14480,     0.00000,    21.64254
   00:001.020,     0.14599,     0.00000,    21.64876
   00:001.040,     0.14681,     0.00000,    21.65499
   00:001.060,     0.14511,     0.00000,    21.65499
   00:001.080,     0.14560,     0.00000,    21.65499
   00:001.100,     0.14585,     0.00000,    21.65499
   00:001.120,     0.14636,     0.00000,    21.63010
   00:001.140,     0.14693,     0.00000,    21.65499
   00:001.160,     0.14625,     0.00000,    21.63632
   00:001.180,     0.14615,     0.00000,    21.64876
   00:001.200,     0.14651,     0.00000,    21.64254
   00:001.220,     0.14693,     0.00000,    21.64876
   00:001.240,     0.14743,     0.00000,    21.65499
   00:001.260,     0.14659,     0.00000,    21.65499
   00:001.280,     0.14603,     0.00000,    21.65499
   00:001.300,     0.14543,     0.00000,    21.64876
   00:001.320,     0.14604,     0.00000,    21.65499
   00:001.340,     0.14615,     0.00000,    21.64876
   00:001.360,     0.14544,     0.00000,    21.65499
   00:001.380,     0.14497,     0.00000,    21.64876
   00:001.400,     0.14491,     0.00000,    21.63632
   00:001.420,     0.14469,     0.00000,    21.64254
   00:001.440,     0.14599,     0.00000,    21.65499
   00:001.460,     0.14597,     0.00000,    21.65499
   00:001.480,     0.14675,     0.00000,    21.64876
   00:001.500,     0.14670,     0.00000,    21.66121
   00:001.520,     0.14595,     0.00000,    21.64254
   00:001.540,     0.14615,     0.00000,    21.64254
   00:001.560,     0.14605,     0.00000,    21.66121
   00:001.580,     0.14574,     0.00000,    21.65499
   00:001.600,     0.14572,     0.00000,    21.63010
   00:001.620,     0.14513,     0.00000,    21.65499
   00:001.640,     0.14470,     0.00000,    21.63632
   00:001.660,     0.14492,     0.00000,    21.64254
   00:001.680,     0.14530,     0.00000,    21.64876
   00:001.700,     0.14507,     0.00000,    21.63632
   00:001.720,     0.14480,     0.00000,    21.64876
   00:001.740,     0.14484,     0.00000,    21.65499
   00:001.760,     0.14462,     0.00000,    21.64254
   00:001.780,     0.14376,     0.00000,    21.63010
   00:001.800,     0.14504,     0.00000,    21.65499
   00:001.820,     0.14601,     0.00000,    21.63010
   00:001.840,     0.14443,     0.00000,    21.65499
   00:001.860,     0.14422,     0.00000,    21.64254
   00:001.880,     0.14502,     0.00000,    21.64254
   00:001.900,     0.14549,     0.00000,    21.64254
   00:001.920,     0.14654,     0.00000,    21.65499
   00:001.940,     0.14597,     0.00000,    21.65499
   00:001.960,     0.14419,     0.00000,    21.63010
   00:001.980,     0.14402,     0.00000,    21.64876
   00:002.000,     0.14593,     0.00000,    21.64254
   00:002.020,     0.14546,     0.00000,    21.65499
   00:002.040,     0.14409,     0.00000,    21.64254
   00:002.060,     0.14446,     0.00000,    21.65499
   00:002.080,     0.14604,     0.00000,    21.65499
   00:002.100,     0.14595,     0.00000,    21.64876
   00:002.120,     0.14389,     0.00000,    21.65499
   00:002.140,     0.14379,     0.00000,    21.65499
   00:002.160,     0.14484,     0.00000,    21.64254
   00:002.180,     0.14556,     0.00000,    21.64254
   00:002.200,     0.14528,     0.00000,    21.65499
   00:002.220,     0.14447,     0.00000,    21.65499
   00:002.240,     0.14510,     0.00000,    21.64254
   00:002.260,     0.14702,     0.00000,    21.63632
   00:002.280,     0.14660,     0.00000,    21.63010
   00:002.300,     0.14572,     0.00000,    21.64876
   00:002.320,     0.14444,     0.00000,    21.64876
   00:002.340,     0.14504,     0.00000,    21.64254
   00:002.360,     0.14537,     0.00000,    21.63632
   00:002.380,     0.14445,     0.00000,    21.65499
   00:002.400,     0.14355,     0.00000,    21.63010
   00:002.420,     0.14556,     0.00000,    21.64254
   00:002.440,     0.14807,     0.00000,    21.65499
   00:002.460,     0.14795,     0.00000,    21.63632
   00:002.480,     0.14504,     0.00000,    21.65499
   00:002.500,     0.14415,     0.00000,    21.65499
   00:002.520,     0.14555,     0.00000,    21.63010
   00:002.540,     0.14569,     0.00000,    21.64254
   00:002.560,     0.14472,     0.00000,    21.64254
   00:002.580,     0.14519,     0.00000,    21.65499
   00:002.600,     0.14477,     0.00000,    21.63632
   00:002.620,     0.14426,     0.00000,    21.64876
   00:002.640,     0.14423,     0.00000,    21.63632
   00:002.660,     0.14645,     0.00000,    21.65499
   00:002.680,     0.14728,     0.00000,    21.65499
   00:002.700,     0.14588,     0.00000,    21.63010
   00:002.720,     0.14467,     0.00000,    21.63632
   00:002.740,     0.14396,     0.00000,    21.63632
   00:002.760,     0.14380,     0.00000,    21.66121
   00:002.780,     0.14375,     0.00000,    21.64876
   00:002.800,     0.14398,     0.00000,    21.64254
   00:002.820,     0.14441,     0.00000,    21.64254
   00:002.840,     0.14474,     0.00000,    21.64254
   00:002.860,     0.14555,     0.00000,    21.65499
   00:002.880,     0.14477,     0.00000,    21.65499
   00:002.900,     0.14420,     0.00000,    21.64254
   00:002.920,     0.14370,     0.00000,    21.65499
   00:002.940,     0.14383,     0.00000,    21.64254
   00:002.960,     0.14499,     0.00000,    21.63632
   00:002.980,     0.14599,     0.00000,    21.65499
   00:003.000,     0.14530,     0.00000,    21.64876
   00:003.020,     0.14516,     0.00000,    21.65499
   00:003.040,     0.14528,     0.00000,    21.65499
   00:003.060,     0.14355,     0.00000,    21.65499
   00:003.080,     0.14289,     0.00000,    21.65499
   00:003.100,     0.14361,     0.00000,    21.65499
   00:003.120,     0.14454,     0.00000,    21.63632
   00:003.140,     0.14423,     0.00000,    21.64254
   00:003.160,     0.14403,     0.00000,    21.64876
   00:003.180,     0.14522,     0.00000,    21.65499
   00:003.200,     0.14426,     0.00000,    21.66121
   00:003.220,     0.14338,     0.00000,    21.65499
   00:003.240,     0.14304,     0.00000,    21.64876
   00:003.260,     0.14352,     0.00000,    21.65499
   00:003.280,     0.14416,     0.00000,    21.64254
   00:003.300,     0.14434,     0.00000,    21.65499
   00:003.320,     0.14478,     0.00000,    21.63010
   00:003.340,     0.14490,     0.00000,    21.64254
   00:003.360,     0.14453,     0.00000,    21.65499
