<WFATester Graph 1.00 1,100.000,105.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  5250,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,     0.80067
   00:000.120,     0.80013
   00:000.140,     0.79134
   00:000.160,     0.79107
   00:000.180,     0.79373
   00:000.200,     0.79735
   00:000.220,     0.79907
   00:000.240,     0.80008
   00:000.260,     0.79821
   00:000.280,     0.79853
   00:000.300,     0.80022
   00:000.320,     0.80000
   00:000.340,     0.79979
   00:000.360,     0.80008
   00:000.380,     0.80014
   00:000.400,     0.79992
   00:000.420,     0.80007
   00:000.440,     0.79895
   00:000.460,     0.79846
   00:000.480,     0.79857
   00:000.500,     0.79823
   00:000.520,     0.79778
   00:000.540,     0.79815
   00:000.560,     0.79935
   00:000.580,     0.79823
   00:000.600,     0.79641
   00:000.620,     0.79628
   00:000.640,     0.79784
   00:000.660,     0.79903
   00:000.680,     0.79850
   00:000.700,     0.79814
   00:000.720,     0.79850
   00:000.740,     0.79912
   00:000.760,     0.79922
   00:000.780,     0.79826
   00:000.800,     0.79813
   00:000.820,     0.79804
   00:000.840,     0.79902
   00:000.860,     0.79915
   00:000.880,     0.79871
   00:000.900,     0.79749
   00:000.920,     0.79770
   00:000.940,     0.79731
   00:000.960,     0.79868
   00:000.980,     0.79875
   00:001.000,     0.79751
   00:001.020,     0.79707
   00:001.040,     0.79690
   00:001.060,     0.79766
   00:001.080,     0.79762
   00:001.100,     0.79743
   00:001.120,     0.79655
   00:001.140,     0.79646
   00:001.160,     0.79853
   00:001.180,     0.79824
   00:001.200,     0.79678
   00:001.220,     0.79812
   00:001.240,     0.79742
   00:001.260,     0.79660
   00:001.280,     0.79611
   00:001.300,     0.79759
   00:001.320,     0.79742
   00:001.340,     0.79742
   00:001.360,     0.79719
   00:001.380,     0.79678
   00:001.400,     0.79823
   00:001.420,     0.79951
   00:001.440,     0.79911
   00:001.460,     0.79795
   00:001.480,     0.79886
   00:001.500,     0.79899
   00:001.520,     0.79846
   00:001.540,     0.79911
   00:001.560,     0.79983
   00:001.580,     0.79870
   00:001.600,     0.79863
   00:001.620,     0.79932
   00:001.640,     0.79882
   00:001.660,     0.79808
   00:001.680,     0.79969
   00:001.700,     0.79967
   00:001.720,     0.79795
   00:001.740,     0.79855
   00:001.760,     0.79940
   00:001.780,     0.79886
   00:001.800,     0.79870
   00:001.820,     0.79945
   00:001.840,     0.79955
   00:001.860,     0.79867
   00:001.880,     0.79955
   00:001.900,     0.79816
   00:001.920,     0.79745
   00:001.940,     0.79842
   00:001.960,     0.79921
   00:001.980,     0.79841
   00:002.000,     0.79867
   00:002.020,     0.80025
   00:002.040,     0.79975
   00:002.060,     0.79838
   00:002.080,     0.79929
   00:002.100,     0.79929
   00:002.120,     0.79661
   00:002.140,     0.79581
   00:002.160,     0.79825
   00:002.180,     0.79890
   00:002.200,     0.79798
   00:002.220,     0.79750
   00:002.240,     0.79737
   00:002.260,     0.79815
   00:002.280,     0.79755
   00:002.300,     0.79693
   00:002.320,     0.79803
   00:002.340,     0.79898
   00:002.360,     0.79885
   00:002.380,     0.79862
   00:002.400,     0.79893
   00:002.420,     0.79886
   00:002.440,     0.79793
   00:002.460,     0.79787
   00:002.480,     0.79725
   00:002.500,     0.79764
   00:002.520,     0.79803
   00:002.540,     0.79683
   00:002.560,     0.79826
   00:002.580,     0.79844
   00:002.600,     0.79868
   00:002.620,     0.79864
   00:002.640,     0.79865
   00:002.660,     0.79911
   00:002.680,     0.79921
   00:002.700,     0.79796
   00:002.720,     0.79720
   00:002.740,     0.79662
   00:002.760,     0.79577
   00:002.780,     0.79607
   00:002.800,     0.79657
   00:002.820,     0.79657
   00:002.840,     0.79786
   00:002.860,     0.79885
   00:002.880,     0.79889
   00:002.900,     0.79789
   00:002.920,     0.79719
   00:002.940,     0.79864
   00:002.960,     0.79921
   00:002.980,     0.79927
   00:003.000,     0.79805
   00:003.020,     0.79872
   00:003.040,     0.79977
   00:003.060,     0.79821
   00:003.080,     0.79694
   00:003.100,     0.79830
   00:003.120,     0.79836
   00:003.140,     0.79789
   00:003.160,     0.79819
   00:003.180,     0.80010
   00:003.200,     0.80088
   00:003.220,     0.80088
   00:003.240,     0.79934
   00:003.260,     0.79866
   00:003.280,     0.79830
   00:003.300,     0.79934
   00:003.320,     0.80065
   00:003.340,     0.80013
   00:003.360,     0.79916
   00:003.380,     0.79851
   00:003.400,     0.79763
   00:003.420,     0.79786
   00:003.440,     0.79898
   00:003.460,     0.79877
   00:003.480,     0.79941
   00:003.500,     0.79950
   00:003.520,     0.79825
   00:003.540,     0.79793
   00:003.560,     0.79875
   00:003.580,     0.79771
   00:003.600,     0.79789
   00:003.620,     0.79788
   00:003.640,     0.79843
   00:003.660,     0.79750
   00:003.680,     0.79640
   00:003.700,     0.79678
   00:003.720,     0.79739
   00:003.740,     0.79656
   00:003.760,     0.79646
   00:003.780,     0.79812
   00:003.800,     0.79753
   00:003.820,     0.79687
   00:003.840,     0.79724
   00:003.860,     0.79777
   00:003.880,     0.79738
   00:003.900,     0.79711
   00:003.920,     0.79816
   00:003.940,     0.79888
   00:003.960,     0.79877
   00:003.980,     0.79939
   00:004.000,     0.79832
   00:004.020,     0.79801
   00:004.040,     0.79737
   00:004.060,     0.79699
   00:004.080,     0.79807
   00:004.100,     0.79784
   00:004.120,     0.79675
   00:004.140,     0.79624
   00:004.160,     0.79720
   00:004.180,     0.79833
   00:004.200,     0.79803
   00:004.220,     0.79733
   00:004.240,     0.79750
   00:004.260,     0.79738
   00:004.280,     0.79753
   00:004.300,     0.79808
   00:004.320,     0.79871
   00:004.340,     0.79777
   00:004.360,     0.79788
   00:004.380,     0.79957
   00:004.400,     0.79843
   00:004.420,     0.79727
   00:004.440,     0.79770
   00:004.460,     0.79884
   00:004.480,     0.79807
   00:004.500,     0.79707
   00:004.520,     0.79731
   00:004.540,     0.79779
   00:004.560,     0.79762
   00:004.580,     0.79808
   00:004.600,     0.79869
   00:004.620,     0.79785
   00:004.640,     0.79728
   00:004.660,     0.79838
   00:004.680,     0.79801
   00:004.700,     0.79734
   00:004.720,     0.79698
   00:004.740,     0.79701
   00:004.760,     0.79727
   00:004.780,     0.79828
   00:004.800,     0.79832
   00:004.820,     0.79707
   00:004.840,     0.79641
   00:004.860,     0.79736
   00:004.880,     0.79876
   00:004.900,     0.79881
   00:004.920,     0.79809
   00:004.940,     0.79741
   00:004.960,     0.79805
   00:004.980,     0.79847
   00:005.000,     0.79865
   00:005.020,     0.79800
   00:005.040,     0.79670
   00:005.060,     0.79789
   00:005.080,     0.79935
   00:005.100,     0.79839
   00:005.120,     0.79786
   00:005.140,     0.79824
   00:005.160,     0.79754
   00:005.180,     0.79620
   00:005.200,     0.79548
   00:005.220,     0.79681
   00:005.240,     0.79867
   00:005.260,     0.79922
   00:005.280,     0.79895
   00:005.300,     0.79805
   00:005.320,     0.79722
   00:005.340,     0.79758
   00:005.360,     0.79856
   00:005.380,     0.79913
   00:005.400,     0.80009
   00:005.420,     0.80084
   00:005.440,     0.80001
   00:005.460,     0.79861
   00:005.480,     0.79780
   00:005.500,     0.79749
   00:005.520,     0.79885
   00:005.540,     0.79986
   00:005.560,     0.80002
   00:005.580,     0.79957
   00:005.600,     0.79905
   00:005.620,     0.79873
   00:005.640,     0.79933
   00:005.660,     0.79986
   00:005.680,     0.79990
   00:005.700,     0.79988
   00:005.720,     0.79898
   00:005.740,     0.79903
   00:005.760,     0.80092
   00:005.780,     0.80059
   00:005.800,     0.79895
   00:005.820,     0.79887
   00:005.840,     0.80064
   00:005.860,     0.80098
   00:005.880,     0.80060
   00:005.900,     0.80034
   00:005.920,     0.80061
   00:005.940,     0.80036
   00:005.960,     0.80027
   00:005.980,     0.80096
   00:006.000,     0.80022
   00:006.020,     0.79871
   00:006.040,     0.80001
   00:006.060,     0.80016
   00:006.080,     0.79892
   00:006.100,     0.80001
   00:006.120,     0.80081
   00:006.140,     0.80051
   00:006.160,     0.79991
   00:006.180,     0.79971
   00:006.200,     0.79959
   00:006.220,     0.79999
   00:006.240,     0.80057
   00:006.260,     0.80061
   00:006.280,     0.79971
   00:006.300,     0.79988
   00:006.320,     0.80121
   00:006.340,     0.80027
   00:006.360,     0.79926
   00:006.380,     0.79944
   00:006.400,     0.79970
   00:006.420,     0.80079
   00:006.440,     0.80062
   00:006.460,     0.79995
   00:006.480,     0.80066
   00:006.500,     0.80043
   00:006.520,     0.79956
   00:006.540,     0.79898
   00:006.560,     0.79936
   00:006.580,     0.80111
   00:006.600,     0.80168
   00:006.620,     0.80052
   00:006.640,     0.80164
   00:006.660,     0.80172
   00:006.680,     0.80028
   00:006.700,     0.79990
   00:006.720,     0.80067
   00:006.740,     0.80051
   00:006.760,     0.79921
   00:006.780,     0.79796
   00:006.800,     0.79793
   00:006.820,     0.79995
   00:006.840,     0.80088
   00:006.860,     0.80017
   00:006.880,     0.79896
   00:006.900,     0.79851
   00:006.920,     0.79985
   00:006.940,     0.79953
   00:006.960,     0.79918
   00:006.980,     0.79954
   00:007.000,     0.80050
   00:007.020,     0.80060
   00:007.040,     0.80082
   00:007.060,     0.80118
   00:007.080,     0.80023
   00:007.100,     0.79931
   00:007.120,     0.79975
   00:007.140,     0.80156
   00:007.160,     0.80144
   00:007.180,     0.79963
   00:007.200,     0.80031
   00:007.220,     0.79955
   00:007.240,     0.79877
   00:007.260,     0.79936
   00:007.280,     0.80009
   00:007.300,     0.79942
   00:007.320,     0.79993
   00:007.340,     0.79970
   00:007.360,     0.79870
   00:007.380,     0.79886
   00:007.400,     0.80016
   00:007.420,     0.79962
